club_name,team_name,competition,tables_available,game_day
BCB Spacemonkeys,SPM A,ERE,2,WOENSDAG
BCB Spacemonkeys,SPM B,ERE,2,WOENSDAG
Bal'enzo,Bal'enzo A,ERE,2,WOENSDAG
Downtown Jack,DTJ A,ERE,2,MAANDAG
Downtown Jack,DTJ B,ERE,2,WOENSDAG
Downtown Jack,DTJ C,ERE,2,MAANDAG
Downtown Jack,DTJ D,ERE,2,MAANDAG
Poolgate,Poolgate A,ERE,1,WOENSDAG
Shooters,Shooters A,ERE,1,WOENSDAG
BCB Spacemonkeys,SPM C,EERSTE,2,WOENSDAG
BCB Spacemonkeys,SPM D,EERSTE,2,WOENSDAG
Bal'enzo,Bal'enzo B,EERSTE,2,MAANDAG
Bal'enzo,Bal'enco,EERSTE,2,WOENSDAG
Bal'enzo,Bal'enzo stars,EERSTE,2,MAANDAG
Bal'enzo,Bal'enzo crew,EERSTE,2,MAANDAG
Downtown Jack,DTJ E,EERSTE,2,WOENSDAG
Shooters,Shooters B,EERSTE,1,WOENSDAG
